busiNo,compNm,Q,A
3058140342,(주)예람,우리 회사가 어떤 방향으로 발전되길 원하시나요?,"이 회사의 좋은 것들을 갈고 닦아서 사회에 좋은 영향력을 끼쳤으면 좋겠습니다. 또한 지금처럼 회사가 이룬 것들을 사회와 함께 나누며 성장하는 기업이 되기를 바랍니다. 사람을 존중하고, 기업들끼리 문화를 공유하며 서로 도우며 동반 성장하였으면 좋겠습니다."
3058140342,(주)예람,마지막으로 회사에 관심 있는 청년들에게 전하고 싶은 말이나 당부사항이 있나요?,"내가 진정으로 좋아하는 것이 무엇인지를 찾기 위해 많이 경험하며 생각해보는 시간을 가지면 좋겠습니다. 진정 좋아하는 일을 찾았다면 그 직무에 관련된 아르바이트, 인턴 등 다양한 경험을 통해 적합한 인재로 성장하는 것이 중요하다고 생각됩니다. ㈜예람에서는 채용이 상시 진행됩니다. 다양한 사업을 진행하고 있는 만큼 다양한 직군의 채용이 이루어지기 때문에 청년분들도 많은 관심 가져주시면 좋겠습니다."
5138144181,(주)티아이,주력분야 등 간단한 회사 소개,"자동화 장비업계를 이끄는 글로벌기업으로서 (주)티아이는 일류기업으로 성장하기 위해 최고의 품질과 서비스를 제공하기 위해 최선을 다하고 있으며, 끊임없는 연구개발로 신제품 개발을 힘써 고객의 만족을 실현하기 위해 노력하는 회사입니다."
5138144181,(주)티아이,회사의 장기적인 목표와 경영방침은?,친환경적인 녹색 제품기술개발로 미래의 세대와 함께 공존 할 수 있는 아름답고 밝은 사회를 만들어나갈 것입니다.
5138144181,(주)티아이,신입연봉,"대졸신입사원 기준으로 약 3,000만 원 정도이며 성과금도 별도 지급이 됩니다. 그리고 학급별로 승진하는 기간은 차이가 있으나 상황에 따라 탄력적으로 승진이 가능합니다."
5138144181,(주)티아이,복리후생,"4대 보험과 직장인 보장보험을 기본적으로 제공하며 경조사비 지원 및 자녀 학자금을 지원해 줍니다. 그리고 명절이나 창립기념일, 근로자의 날에는 선물을 지급하며 장기근속 시 포상과 모범사원일 경우 해외 선진문화를 탐방할 기회를 제공합니다. 그 외 사내 써클 활동비 지원, 직원 회식비 지원, 기숙사를 운영하고 있습니다."
5138144181,(주)티아이,근무환경,자신의 업무에 대한 책임만 다한다면 자율적인 분위기에서 업무를 진행할 수 있습니다. 그렇기에 업무 분담에 대해 명확히 구분하여 업무를 원활하게 진행하고 있습니다.
5138144181,(주)티아이,인재상,공개채용을 진행합니다. 먼저 1차 서류면접을 거쳐 필기시험을 통해 업무에 대한 기본적 소양에 대해 확인 합니다. 2차 심화면접을 거쳐 지원자의 성격이 우리 회사와 맞을 경우 선발하여 약 3개월 정도의 O.J.T의 수습기간을 거친 후 현장에 투입합니다.선호하는 인재상은 일에 대한 도덕성과 책임감 그리고 창의적 사고를 갖춘 사람을 선호합니다.
5138144181,(주)티아이,회사에 관심 있는 청년들에게 전하고 싶은 말은?,어느 회사에서도 그렇듯 실력도 중요하지만 그것보단 인성을 더 중요시 생각합니다. 조직생활에서 중요한 것은 팀워크이기에 업무처리가 조금 미숙하더라도 언제든지 따라갈 수 있다고 생각합니다. 그렇기에 이력서를 볼 때도 기본적인 것을 지켰는지에 대해서도 살펴봅니다. 이력서에서 채워야할 기본적 사항과 사진도 단정한 머리에 정장차림으로 촬영했는지 확인 합니다. 업무에 대한 책임감과 항상 배우려는 열정을 가진 인재라면 우리 회사에 지원해주시면 좋겠습니다.
5138144181,(주)티아이,,"취재 : 경운대학교 청년친화강소기업 서포터즈단 박규현, 전인성"
1138642090,(주)에스에스알,에스에스알의 주력분야는 어떤 것 인가요?,"PC나 서버에 대한 정보보호를 위해 종합적으로 컨설팅을 제공하고 솔루션을 제공하는 기업입니다. B2B서비스로 금융기관, 공공기관이나 사기업에 보안솔루션과 기술, 관리 컨설팅을 제공하고 있습니다."
1138642090,(주)에스에스알,에스에스알의 장기적 목표나 경영철학은 무엇인가요?,"지난 몇 년간 영어권 국가에 수출을 이루어 냈습니다. 성공적 결과를 잘 활용하여 아시아권까지 수출을 하고자 그에 따른 조사와 개발을 진행 중에 있습니다.
또한 에스에스알이 청년친화강소기업에 선정된 만큼 회사차원에서도 청년들이 고민하는 것들에 대해서 같이 고민하고 해결하기를 바라고 있습니다. 에스에스알의 경영철학이라면 그 사람의 학력이나 스펙 만을 보는 것이 아니라, 개인이 가지고 있는 전문성과 기술성에 주목하는 것입니다.  객관성 있는 지표로 판단함으로써 회사에 적합한 인물 선별에 중점을 두고 있습니다."
1138642090,(주)에스에스알,타사와 비교했을 때 에스에스알만의 장점은 무엇인가요?,"에스에스알은 보안업체 중에 상위1%라 불리는 멘사 회원을 가장 많이 보유하고 있습니다. 아무래도 정보보안업체다 보니 그런 점이 강점이 될 것 같습니다.  또한 해커 출신 및 컨설턴트들이 직접 만든 보안솔루션을 고객에게 서비스 함으로써 고객의 니즈를 파악하여 더욱 만족스러운 솔루션을 제공한다는 장점이 있습니다. 수평적인 회사문화 또한 장점이 될 수 있습니다. 대부분 IT 업종에 종사한다고 한다면 딱딱한 군대식 문화를 상상하실 텐데요. 에스에스알은 수평적인 회사 문화를 지향하고 있습니다.  유동적인 근무시간, 점심시간 및 자유로운 복장 등 청년들이 다수 근무하는 환경에 맞추어 자유로운 분위기로 업무의 효율성을 높이고 있습니다."
1138642090,(주)에스에스알,회사의 채용절차 및 선호하는 인재상이 있나요?,에스에스알은 컨설팅사업본부와 솔루션사업본부로 나뉘어져 있는데요. 부서마다 업무가 상이하여 각 부서별에 따른 채용 방식을 가지고 있습니다. 기술연구소 기준으로는 서류 심사 후 필기시험을 봅니다. 답이 정해져 있는 시험이라기 보다는 면접자가 얼마나 창의적으로 문제에 접근을 하는지 보는 시험이라고 할 수 있습니다.  필기시험 합격자에 한하여 실무진 면접과 임원 면접이 진행 됩니다. 선호하는 인재상으로는 조직문화에 잘 어울리고 업무처리 면에서 열정적이고 효율적인 사람을 선호합니다.
1138642090,(주)에스에스알,신입 평균 급여수준 및 인사 제도 현황이 어떻게 되나요?,"대졸기준 2,600만원입니다. 이번 년도에 상장과 함께 매출 100억을 돌파한 회사로서 더욱 성장하고 있기 때문에 앞으로 더 오를 것이라고 예상합니다."
1138642090,(주)에스에스알,신입사원 육성 로드맵이나 인재육성 로드맵,"1:1 멘토링을 지원합니다. 회사에 대해서 익히 알고 있어야 하는 교육을 진행하고 있습니다.  신입사원에게 멘토를 지정해줌으로써 실질적으로 업무에 대해 궁금한 부분들을 편하게 물어볼 수 있는 여건을 마련해주고, 업무 외적인 부분들도 함께 이야기를 나누며 조직에 쉽게 적응할 수 있도록 회사 차원에서 주도하고 있습니다. 특히, 일과 학습을 병행 가능한 문화를 조성하여, 시간적 여유가 되는 신입사원들에게 공부 및 학습을 업무 시간에도 진행할 수 있도록 배려하고 있습니다."
1138642090,(주)에스에스알,주요 복리후생은 어떻게 되나요?,"기본적으로 회사가 갖춰야 할 경조사비 및 야근 식대는 물론, 회사 내부 카페테리아에서는 음료도 항상 넉넉하게 제공하고 있습니다. 또한 업무와 관련된 자기계발에 대한 지원을 아끼지 않고 있습니다. 업무에 도움이 되는 서적 구매가 가능하며, 멘사 및 정보처리기사 자격증 취득 시 그에 따른 포상금을 지원합니다.  한 5년 이상 근무한 사람에게는 5년마다 장기근속상을 시상합니다."
1138642090,(주)에스에스알,기업의 전반적인 근무환경은 어떻게 되나요?,회사 분위기는 수평적 분위기를 지향하고 있습니다. 야근이나 회식 같은 경우에도 강요적인 분위기 없이 자유롭게 이루어집니다. 팀장님이 임의적으로 정하는 것이 아니라 행사나 일정도 다같이 회의를 해서 잡는 편입니다.
1138642090,(주)에스에스알,청년친화 강소기업으로 선정된 이유가  무엇인가요?,"2016년부터 청년친화 강소기업으로 선정이 되었는데요. 그 해에 청년 고용률 100%를 달성했었습니다.  그 이후에도 지속적으로 청년들을 채용하려고 노력한 결과, 쳥년들의 열정과 능력을 기반으로 높은 매출성장률을 달성하고 있습니다. 또한 인재 육성형 중소기업에도 선정되어 대외적으로 청년들이 성장하기 매우 좋은 회사라고 알려진 덕분에 청년친화 강소기업으로 선정되지 않았을까 싶습니다."
1138642090,(주)에스에스알,회사에 관심있는 청년들에게  하고 싶은 말,"최근 많은 취업준비생 여러분들이 자신의 학력과 스펙에만 집중하여 거대 기관 및 기업에만 지원하고, 탈락을 맛보며 좌절하는 경우가 많다고 보여집니다. 누구나 원하는 회사만 찾아보게 된다면, 자신에 대해서 자신감도 많이 떨어지고 시야가 좁아지게 되어 자신의 취업 문을 스스로 좁히는 결과를 초래하게 된다고 생각합니다. 조금은 더 넓은 시야를 가지고 자신의 전문성을 성장시킬 수 있는 회사, 열정을 쏟을 수 있는 회사에 들어가는 것이 제일 중요하지 않을까 싶습니다. 자신의 열정과 재능을 마음껏 펼치고자 하는 청년들이 많이 입사하셔서 회사와 함께 성장하는 인재가 되었으면 좋겠습니다. 많은 지원 부탁 드립니다."
1138642090,(주)에스에스알,,"취재 : 협성대학교 청년친화강소기업 서포터즈단 최예지, 김예진"
2218130323,(주)보템,회사의 주력 분야 등 간단한  회사 소개를 해주세요.,저희 회사는 의료기기중 환자감시장치를 주력으로 하고 있습니다. 환자감시장치는 환자의 생체신호를 통해 현재 상태를 시각화하여 의료진에게 정보를 제공하는 장치입니다. 주된 업무 분야는 크게 연구진과 해외영업파트로 나누어 운영하고 있습니다.
2218130323,(주)보템,회사의 장기적인 목표나 경영 철학은 무엇인가요?,"지금은 환자감시장치만을 다루고 있지만 미래에는 여러 의료장치를 만들어 ICU분야에서도 두각을 나타내고 싶고, 이를 통해 의료기기분야에서 대한민국을 대표할 수 있는 업체로 성장하는 것이 최종 목표라고 할 수 있겠습니다. 경영철학은 회사의 이름처럼 가족같은 회사, 사회에 보탬이 되는 회사를 만들고 싶습니다."
2218130323,(주)보템,타사와 비교했을 때 귀사의 장점은 무엇인가요?,"저희 회사의 가장 큰 장점 중 하나는 회사 직원들이 근로자로서의 권리를 자유롭게 행사할 수 있다는 것, 그리고 그러한 권리를 당연하게 인정하고 받아주는 분위기가 저희 회사의 장점입니다. 또한 회사에 이익이 났을 때, 직원들에게 돌아갈 수 있도록 성과급이 명확하게 존재한다는 점이 장점이 될 수 있다고 생각합니다."
2218130323,(주)보템,회사의 채용절차 및 선호하는 인재상은 어떻게 되나요?,"개인의 전문적인 지식도 굉장히 중요하지만, 가장 중요한 건 인성과 배려입니다. 배려가 없으면 회사 조직의 능률을 떨어뜨린다고 생각하기 때문에 다른 사람들과 잘 어울리고 배려할 줄 아는 사람이 저희 회사와 적합한 인재라고 생각합니다."
2218130323,(주)보템,신입 평균 급여 수준 및 인사 제도 현황에 대해 알 수 있나요?,"2019년 평균 연봉기준, 석사학위를 받은 사람에게는 2,800만원~3,000만원, 박사학위는 최소 3,000만원 이상입니다. 동종업에 비해 급여수준이 높은 편입니다. 또한 능력과 성과에 따라 급여를 추가적으로 받을 수 있습니다."
2218130323,(주)보템,신입사원 육성방법 또는 인재육성 로드맵이 있나요?,"처음 신입사원이 들어오면 가장 먼저 저희 회사의 경영이념과, 비전, 사내 규정을 공유합니다.  
또한 각 업무 파트를 일주일 정도 순회하면서 회사가 전체적으로 어떻게 움직이는지 알 수 있게 도와줍니다. 자기 분야만 하는 것이 아니라 다른 분야도 어떤 일을 하는지 알아야 전체적인 흐름을 파악하여 더 효율적인 업무가 가능하기 때문입니다."
2218130323,(주)보템,주요 복리후생은 어떻게 되나요?,"기본적으로 식비가 제공되고 여름과 겨울에 각각 일주일의 휴가가 제공되며, 휴가나 명절 때 지원금 지원, 생일 축하금, 경조사비 지원을 하고 있습니다. 향후 회사 운영실적이 향상된다면 자녀육아수당 지원하는 것 또한 검토 중에 있습니다."
2218130323,(주)보템,기업의 전반적인 근무 환경(조직 문화 및 근무 분위기)은 어떻다고 생각하시나요?,"가장 중요하게 생각하는 근무 분위기는 서로 배려하는 분위기입니다. 주 5일제, 6시 정시퇴근, 유연한 근무환경, 특히나 갑자기 집에 일이 생겼을 경우, 조퇴까지도 가능하며, 회식 또한  자율적인 분위기입니다. 회식은 1차까지만 진행하며, 대리비 또한 지원됩니다. 그리고 자유로운 소통 분위기를 통해 빠른 의견수렴이 가능하며, 생일자가 있는 달 첫째 주에 생일파티를 진행하고, 사내 볼링대회도 진행하고 있습니다."
2218130323,(주)보템,청년들에게 전하고 싶은 말이나 당부사항이 있나요?,시간을 충분히 가지고 준비를 철저히 하는 것이 중요합니다. 절대 시간에 쫓긴다고 생각하면서 준비할 필요는 없습니다. 남들보다 1~2년 늦은 건 절대 늦은 것이 아닙니다. 취업에 있어서 똑똑함은 무척 중요한 항목은 아닙니다. 그보다는 자신이 특정 회사에 왜 지원하고 싶은지 명확한 이유와 그에 따른 열정적 준비가 필요하고 중요합니다. 대학 4년이 앞으로 남은 인생을 결정한다고 생각하지 말고 자기가 진정 무엇을 더 잘하고 좋아하는지 찾는 것이 중요합니다.
2218130323,(주)보템,,동 탐방기는 청년친화강소기업 서포터즈가 기업 방문 후 작성한 내용입니다.
1058146727,(주)제이오텍,회사의 주력 분야 등 간단한 회사 소개를 해주세요.,"저희는 연구실에 들어가는 연구 실험 장비를 만드는 회사입니다. 1988년도에 창업자께서 연구 실험을 하시다가 사용하는 장비들을 왜 외산을 써야 하지라는 생각을 하셨고 공장 운영이나 도구를 만드는 것이 친숙하신 분이라 창업을 하게 됐습니다. 제이오텍은 양산 일종을 하는 회사이고 저희 분야에서는 제조를 가장 크게 하는 회사입니다. 연구 실험 장비를 주력으로 하고 있고 환경 신뢰성 실험 장비, 시약장, 가구 등을 제조하고 있습니다."
1058146727,(주)제이오텍,회사의 장기적인 목표나 경영 철학이 있으신가요?,"직원들을 조금 더 나은 삶을 살게 하는 게 회사의 목표입니다. 경영 철학으로는 ""경천애인 수처작주"" 즉, 하늘을 공경하고 사람을 사랑하자. 어딜 가든지 주인이 되자 주인의 마음으로 살아가자는 뜻입니다. 그리고 저희 제이오텍은  중소기업 벤처 붐에서 선정하는 2016 글로벌 강소기업에 선정되었습니다. 수출을 하는 기업에게 응원하기 위해 선정해주는데 저희는 국내시장에서만 아니라 전 세계시장에서 회사  매출을 늘리는 게 목표입니다."
1058146727,(주)제이오텍,타사와 비교했을 때 귀사의 장점은 무엇인가요?,"생일자 모임, 도서관 등 여러 가지가 있습니다. 점심과 저녁을 직영식당에서 매일 다른 반찬을 무료로 먹을 수 있고 휴식시간이 있습니다. 2시간에 10분씩 쉽니다. 사내방송이 나온답니다. 제조업체들 중에서 시원하고 넓고 근무환경이 좋다고 말할 수 있습니다."
1058146727,(주)제이오텍,회사의 채용절차 및 선호하는 인재상은 어떻게 되나요?,"채용절차는 ‘서류전형>면접전형>최종합격’입니다.
선호하는 인재상은 ‘성실함’입니다. 예를 들면, 짧은 면접시간에 상대방에 대해 얼마나 알 수 있을까요? 그래서 대학생들은 기본적으로 성적에 신경을 썼으면 좋겠습니다.  왜냐하면 학교를 다니는 학생에게 가장 기본은 학교공부를 열심히 하는 겁니다. 그걸 하지 않은 사람, 다른 걸 배웠다 하는 분들은 창업을 추천해드리고 싶습니다. 조직생활은 내가 하기 싫어도 해야 되는 일이라고 생각하고 학생에 빗대면 수업은 듣기 싫어도 들어야 하고, 그런 과정 중에 성인이 되는 거라고 생각합니다.또한 본질적인 고민을 많이 했으면 합니다. 수업에서 배운 기초적인 개념을 알고 질문에 충실히 대답할 수 있다면 어떤 일이든 ‘잘 할 수 있다’는 예상을 할 수 있을 거라 생각합니다."
1058146727,(주)제이오텍,신입 평균 급여수준 및 인사 제도 현황에 대해 알 수 있나요?,"중소기업 평균정도라고 생각하시면 됩니다. 저흰 연봉제이고  평점, 평가에 따른 인상률 차이가 있습니다. 인사평가는 부서 및 개인의 성과, 개인역량을 종합적으로 검토하여 평가합니다."
1058146727,(주)제이오텍,신입사원 육성방법 또는 인재육성 로드맵이 있나요?,"제이오텍이 신입사원에게 바라는 것은 성실성, 하고자 하는 열정을 중요시하고 있습니다. 직무체험으로 대학생들에게 직무 경험을 쌓을 수 있는 기회를 주고 있습니다."
1058146727,(주)제이오텍,주요 복리후생은 어떻게 되나요?,"일반적인 것은 다 갖춰져 있습니다.경조사, 자녀 학자금제도, 휴가, 포상금 제도, 동아리가 있습니다. 동아리에는 등산, 축구, 농구, 탁구, 종교 등이 있습니다."
1058146727,(주)제이오텍,기업의 전반적인 근무 환경(조직문화 및 근무 분위기)은 어떻다고 생각하시나요?,사람마다 다를 수 있을 거 같습니다. 벽이 있거나 나쁘지 않습니다. 중소기업 제조업체에서 이런 환경은 없다고 생각할 만큼 좋습니다.
1058146727,(주)제이오텍,"우리 회사만의 차별화 된 강점, 장점 등 강조하고 싶은 점이 있으신가요?",타 회사 제품의 부속으로 쓰이는 게 아니라 저희만의 브랜드를 가진 제품을 판매한다는 게 장점이라 생각합니다. 주요제품 숫자가 많아서 위험이 분산되어있다 볼 수 있습니다. 만약 한 제품이 잘 사용되지 않는다 해도 다른 여러 제품들이 잘 사용되고 있기 때문입니다.
1058146727,(주)제이오텍,회사에 관심있는 청년들에게 전하고 싶은 말이나 당부사항이 있나요?,"자기 위치에서 준비를 해줬으면 좋겠습니다. 준비된 자만이 기회를 얻는다 하죠 자신만의 경쟁력을 가지고 있게끔 자기계발을 하고,  자기만의 특차별한 상품이 되었으면 좋겠습니다.

개인적으로 기업이라는 곳은 ‘큰일을 하기 위해 존재 한다’고 생각합니다. 나 혼자서는 할 수 없는데 같이 하면 큰일을 할 수 있으니까요. 기업에 들어가기 전에 내가 하고 하는 일과 그 기업이 하고자 하는 비전의 꿈이 같은가를 보세요. 회사가 하고 싶은 일이 내가 하고 싶은 일이 아니고, 그 철학이 공유가 안 되는데 어떻게 기업문화에서 공감을 얻을까요? 회사가 존재하는 이유에 함께 공감할 때 좋은 가치를 얻게 되고, 기업의 큰일이 세상에 가치를 더할 때 이윤이 발생되며 이러한 이윤으로 함께 살아가는 공동체의 일원이 많이  들어왔으면 좋겠습니다."
1058146727,(주)제이오텍,제이오텍을 대표하는 제품이 무엇인지 궁금합니다.,"제품의 종류가 군만 20군이 넘고, 모델은 200모델 악세서리까지 몇 천개가 될지 모르는데 다품종 소량생산이어서 대답 드리기가 쉽진 않지만, 열에 관한 실험기구에 강점이 있습니다. 온도와 습도를 유지해야하는 경우, 화학실험 열을 가해야 될 때 오랫동안 안정적으로 돌아가기 위한 안전성 테스트 등이 있는데 열 관련 제품에 강점이 있습니다. 예를 들자면  인큐베이터, 오븐, 챔버 같은 제품이 있습니다."
1058146727,(주)제이오텍,신입은 눈에 보이는 성과나 결과물을 내기 힘들다고 생각하는데 어떻게 평가하는지 궁금합니다.,"1년 정도는 학습 기간인거 같습니다.그래서 성실성과 태도, 또 얼마나 열심히 열정적인 자세로 임하는가에 대해 평가를 합니다."
1058146727,(주)제이오텍,,취재 : 배재대학교 청년친화강소기업 서포터즈단 이동우
3018130366,해성약품(주),회사의 주력 분야가 무엇인가요?? 간단한 회사 소개해주세요!,"저희 회사는 의약품 유통업체입니다. 의약품유통관리기준(이하 KGSP)적격업체로써, 전문의약품을 주로 유통하며 선진화된 최첨단 물류시스템을 갖추고 있습니다. 뿐만 아니라 자회사 ‘진선 메디칼’에서는 의료 소모품, 의료기기 등의 일반의약품을 유통하며, 의료분야 토탈 서비스를 제공하기 위해 노력하고 있습니다."
3018130366,해성약품(주),타사와 비교했을 때 귀사의 장점은 무엇인가요?,"제약회사들은 모든 약품이 아닌, 회사마다 특성화 된 주력 의약품을 제조합니다. 따라서 병원 측에서는 여러 제약회사들을 연결하여 공급 받아야하는 불편함을 겪습니다. 하지만, 저희 회사는 병원 및 약국에서 필요로 하는 전문의약품과 일반의약품 및 의료소모품 대부분을 취급하고 공급 가능하기에 우리 회사와의 거래로 안정적인 공급 시스템을 마련할 수 있습니다. 즉, 의약품 유통업체의 주고객인 병원 측에 단순화된 토탈 서비스를 제공할 수 있는 것입니다."
3018130366,해성약품(주),회사의 채용절차 및 선호하는 인재상은 어떻게 되나요?,"채용방식은 공개채용과 특별채용 2가지로 나뉩니다. 공개채용은 잡코리아, 워크넷 등의 인터넷 고용 사이트나 고용노동부 알선기관의 의뢰로 진행됩니다. 특별 채용은 연계대학에서 추천하는 ‘IPP형 일학습 병행제’ 학습근로자를 기업에서 교육하여 차후 선발하는 채용입니다. 꾸준히 진행되고 있는 해당 프로그램에서는 대학생들에게 장기적으로 체계적인 교육 및 실습의 기회를 제공하고 있습니다. 또한, 모든 채용절차는 서류심사와 임원면접 순으로 이루어집니다.

당연히 회사의 입장에서는 유능한 사원을 원합니다. 하지만 동료 직원들에게 위화감과 박탈감을 느끼게 할 만한 유별난 신입사원을 원하지는 않습니다. 회사의 눈앞에 보이는 당장의 이익보다 회사 및 팀원들의 근무분위기와 장기적인 미래를 더욱 중요시하기 때문입니다. 따라서 무엇보다 팀웍을 중요시하고 팀 분위기에 무리없이 녹아들 수 있는 인재를 원하고 있습니다."
3018130366,해성약품(주),신입사원 육성방법 또는 인재육성 로드맵이 있나요?,"신입사원들은 업무현장에서 3개월간의 OJT(On the Job Training)교육을 받습니다. 직속 상사에게 개별지도와 교육을 받음으로써 일에 대한 숙련도를 익히며 자신이 하는 업무에 애정을 느끼고 회사에 대한 소속감을 갖도록 합니다. 또한, 이와 동시에 신입사원들은 4주간 팀장급 간부들로부터 각 파트 간의 업무에 대해 브리핑 받습니다. 파트 별 전문적인 브리핑 시간을 통해서 회사의 전반적인 업무를 파악하고 업무 방향성에 대해 더욱 빠르게 깨우칠 수 있도록 돕고 있습니다.

또한, 입사 4년차 이상의 직원들은 해외연수의 기회를 제공받으며 3년이 경과할 때마다 연수대상자가 됩니다. 지속적인 해외연수는 연수를 받는 직원과 회사의 앞날에 장기적으로 큰 발전을 줄 것이라 믿어 의심치 않습니다. 직원의 성장은 곧 회사의 성장과 같으니까요."
3018130366,해성약품(주),주요 복리후생은 어떻게 되나요?,"직원들은 기본적인 4대보험은 물론이고 종합보험과 같은 단체보험에 가입되어 있습니다. 또한, 회사차원에서 콘도 회원권을 보유하여 직원들의 자유로운 이용을 장려하고, 자발적으로 개설된 풋살, 볼링, 골프 동호회를 지속적으로 지원함으로써 업무시간 외의 시간에 대해 최대한의 복지를 제공하고 있습니다."
3018130366,해성약품(주),회사의 전반적인 근무환경(조직문화 및 근무 분위기)는 어떻다고 생각하시나요?,"저희 회사직원 연령층의 65% 정도가 청년층으로서, 초창기 창업멤버와 팀장급 간부들을 제외하면 대부분이 같은 연배입니다. 젊은 층의 또래 직원들로 이루어 졌기 때문에 다른 회사와 비교하여 더욱 수평적인 구조이며 편안한 분위기가 조성되어 있습니다. 또한 올여름 폭염 때에는 점심시간을 30분 연장하여 개인적인 휴식시간과 낮잠시간을 갖도록 하였습니다. 이러한 변화와 노력은 업무시간의 효율성을 높이며 전반적인 회사에 대한 만족도와 근무환경의 쾌적함을 높일 수 있다고 생각합니다."
